"country_region","date","transit_stations_percent_change_from_baseline","retail_and_recreation_percent_change_from_baseline","workplaces_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline"
"Austria",2020-02-15,13,9,0,1
"Austria",2020-02-16,12,15,1,21
"Austria",2020-02-17,3,9,-4,5
"Austria",2020-02-18,2,8,-4,5
"Austria",2020-02-19,-1,4,-5,2
"Austria",2020-02-20,2,4,-5,1
"Austria",2020-02-21,-2,1,-5,4
"Austria",2020-02-22,14,9,2,3
"Austria",2020-02-23,5,4,2,23
"Austria",2020-02-24,3,9,2,10
"Austria",2020-02-25,7,13,0,10
"Austria",2020-02-26,-2,-3,0,10
"Austria",2020-02-27,0,1,1,7
"Austria",2020-02-28,-2,-1,1,9
"Austria",2020-02-29,0,2,1,3
"Austria",2020-03-01,1,0,2,8
"Austria",2020-03-02,1,2,3,6
"Austria",2020-03-03,-3,-1,2,4
"Austria",2020-03-04,0,2,2,5
"Austria",2020-03-05,0,1,1,3
"Austria",2020-03-06,-2,-1,1,3
"Austria",2020-03-07,-3,4,0,0
"Austria",2020-03-08,5,14,1,14
"Austria",2020-03-09,-3,-1,1,4
"Austria",2020-03-10,-3,-3,1,10
"Austria",2020-03-11,-8,-6,-1,17
"Austria",2020-03-12,-9,-10,-3,24
"Austria",2020-03-13,-20,-20,-6,46
"Austria",2020-03-14,-34,-35,-9,-7
"Austria",2020-03-15,-43,-59,-18,-32
"Austria",2020-03-16,-56,-71,-43,-14
"Austria",2020-03-17,-66,-79,-55,-32
"Austria",2020-03-18,-65,-79,-58,-30
"Austria",2020-03-19,-67,-80,-60,-29
"Austria",2020-03-20,-68,-81,-59,-28
"Austria",2020-03-21,-75,-88,-54,-39
"Austria",2020-03-22,-76,-90,-54,-69
"Austria",2020-03-23,-71,-79,-60,-31
"Austria",2020-03-24,-71,-80,-61,-32
"Austria",2020-03-25,-73,-81,-62,-34
"Austria",2020-03-26,-72,-81,-62,-31
"Austria",2020-03-27,-70,-80,-60,-26
"Austria",2020-03-28,-66,-83,-49,-31
"Austria",2020-03-29,-71,-87,-51,-64
"Austria",2020-03-30,-71,-78,-59,-31
"Austria",2020-03-31,-69,-77,-59,-24
"Austria",2020-04-01,-67,-77,-59,-30
"Austria",2020-04-02,-68,-77,-59,-29
"Austria",2020-04-03,-69,-79,-59,-25
"Austria",2020-04-04,-67,-82,-48,-30
"Austria",2020-04-05,-64,-82,-46,-55
"Austria",2020-04-06,-64,-73,-58,-26
"Austria",2020-04-07,-63,-74,-58,-24
"Austria",2020-04-08,-63,-74,-58,-21
"Austria",2020-04-09,-63,-74,-59,-15
"Austria",2020-04-10,-66,-76,-63,-16
"Austria",2020-04-11,-62,-81,-45,-27
"Austria",2020-04-12,-63,-83,-45,-54
"Austria",2020-04-13,-78,-90,-88,-94
"Austria",2020-04-14,-62,-62,-53,-16
"Austria",2020-04-15,-58,-62,-52,-20
"Austria",2020-04-16,-57,-63,-52,-18
"Austria",2020-04-17,-58,-65,-52,-16
"Austria",2020-04-18,-54,-70,-36,-21
"Austria",2020-04-19,-66,-84,-43,-53
"Austria",2020-04-20,-56,-58,-48,-24
"Austria",2020-04-21,-54,-60,-48,-21
"Austria",2020-04-22,-54,-61,-48,-21
"Austria",2020-04-23,-54,-62,-48,-18
"Austria",2020-04-24,-56,-64,-49,-17
"Austria",2020-04-25,-52,-68,-33,-19
"Austria",2020-04-26,-50,-73,-34,-36
"Austria",2020-04-27,-52,-57,-45,-22
"Austria",2020-04-28,-50,-58,-45,-18
"Austria",2020-04-29,-55,-61,-46,-12
"Austria",2020-04-30,-49,-49,-45,13
"Austria",2020-05-01,-66,-83,-82,-90
"Austria",2020-05-02,-44,-43,-24,4
"Austria",2020-05-03,-49,-72,-31,-32
"Austria",2020-05-04,-43,-32,-38,-8
"Austria",2020-05-05,-46,-39,-39,-8
"Austria",2020-05-06,-43,-38,-38,-5
"Austria",2020-05-07,-41,-39,-38,-5
"Austria",2020-05-08,-41,-40,-39,-2
"Austria",2020-05-09,-35,-43,-19,-2
"Austria",2020-05-10,-39,-64,-18,-25
"Austria",2020-05-11,-43,-37,-36,-16
"Austria",2020-05-12,-41,-39,-35,-9
"Austria",2020-05-13,-43,-41,-35,-10
"Austria",2020-05-14,-44,-42,-36,-9
"Austria",2020-05-15,-47,-34,-36,-11
"Austria",2020-05-16,-35,-32,-12,-13
"Austria",2020-05-17,-31,-40,-13,-18
"Austria",2020-05-18,-32,-20,-27,-11
"Austria",2020-05-19,-33,-22,-28,-7
"Austria",2020-05-20,-29,-14,-28,22
"Austria",2020-05-21,-52,-58,-80,-87
"Austria",2020-05-22,-38,-20,-44,2
"Austria",2020-05-23,-41,-32,-13,-12
"Austria",2020-05-24,-37,-44,-14,-20
"Austria",2020-05-25,-37,-22,-29,-9
"Austria",2020-05-26,-36,-25,-27,-8
"Austria",2020-05-27,-30,-21,-26,-8
"Austria",2020-05-28,-36,-26,-28,-6
"Austria",2020-05-29,-33,-23,-28,-1
"Austria",2020-05-30,-30,-24,-5,-2
"Austria",2020-05-31,-45,-44,-14,-21
"Austria",2020-06-01,-45,-46,-79,-86
"Austria",2020-06-02,-27,-13,-29,9
"Austria",2020-06-03,-26,-18,-23,-3
