,location,covariate,lag
0,Austria,new_cases_per_million,-13
1,Austria,positive_rate,-12
2,Belgium,new_cases_per_million,-16
3,Belgium,positive_rate,-10
4,Cyprus,new_cases_per_million,-27
5,Cyprus,positive_rate,-21
6,Czechia,new_cases_per_million,-10
7,Czechia,positive_rate,-9
8,Denmark,new_cases_per_million,-9
9,Denmark,positive_rate,-17
10,Estonia,new_cases_per_million,-21
11,Estonia,positive_rate,-15
12,Finland,new_cases_per_million,-9
13,France,new_cases_per_million,-14
14,France,positive_rate,-18
15,Germany,new_cases_per_million,-15
16,Germany,positive_rate,-11
17,Iceland,new_cases_per_million,-7
18,Iceland,positive_rate,-26
19,Italy,new_cases_per_million,-12
20,Italy,positive_rate,-14
21,Luxembourg,new_cases_per_million,-19
22,Luxembourg,positive_rate,-15
23,Malta,positive_rate,-18
24,Malta,reproduction_rate,-23
25,Netherlands,new_cases_per_million,-12
26,Portugal,new_cases_per_million,-14
27,Portugal,positive_rate,-12
28,Romania,new_cases_per_million,-12
29,Slovenia,new_cases_per_million,-14
30,Slovenia,positive_rate,-12
31,Spain,new_cases_per_million,-21
32,Sweden,new_cases_per_million,-16
33,Sweden,positive_rate,-12
