date,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,total_vaccinations_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,transit,driving,walking
2020-06-01,Albania,1143.0,6.0,19.857,33.0,0.0,0.14300000000000002,397.17800000000005,2.085,6.9,11.467,0.0,0.05,1.16,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,90.62,84.18
2020-06-02,Albania,1164.0,21.0,19.285999999999998,33.0,0.0,0.0,404.476,7.297000000000001,6.702000000000001,11.467,0.0,0.0,1.19,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,88.33,93.86
2020-06-03,Albania,1184.0,20.0,19.143,33.0,0.0,0.0,411.425,6.95,6.652,11.467,0.0,0.0,1.19,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,89.97,87.72
2020-06-04,Albania,1197.0,13.0,17.285999999999998,33.0,0.0,0.0,415.94300000000004,4.5169999999999995,6.007000000000001,11.467,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,84.3,94.75
2020-06-05,Albania,1212.0,15.0,16.143,33.0,0.0,0.0,421.155,5.212000000000001,5.609,11.467,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,93.46,83.24
2020-06-06,Albania,1232.0,20.0,15.714,34.0,1.0,0.14300000000000002,428.105,6.95,5.461,11.815,0.34700000000000003,0.05,1.26,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,102.16,81.96
2020-06-07,Albania,1246.0,14.0,15.571,34.0,0.0,0.14300000000000002,432.97,4.865,5.4110000000000005,11.815,0.0,0.05,1.31,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,111.59,87.25
2020-06-08,Albania,1263.0,17.0,17.143,34.0,0.0,0.14300000000000002,438.87699999999995,5.907,5.957000000000001,11.815,0.0,0.05,1.41,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,93.78,87.38
2020-06-09,Albania,1299.0,36.0,19.285999999999998,34.0,0.0,0.14300000000000002,451.38599999999997,12.51,6.702000000000001,11.815,0.0,0.05,1.56,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,95.51,90.83
2020-06-10,Albania,1341.0,42.0,22.429000000000002,34.0,0.0,0.14300000000000002,465.981,14.594000000000001,7.794,11.815,0.0,0.05,1.63,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,92.69,91.09
2020-06-11,Albania,1385.0,44.0,26.857,35.0,1.0,0.28600000000000003,481.27,15.289000000000001,9.333,12.162,0.34700000000000003,0.099,1.64,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,96.27,89.13
2020-06-12,Albania,1416.0,31.0,29.143,36.0,1.0,0.429,492.043,10.772,10.127,12.51,0.34700000000000003,0.149,1.62,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,115.3,97.74
2020-06-13,Albania,1464.0,48.0,33.143,36.0,0.0,0.28600000000000003,508.722,16.679000000000002,11.517000000000001,12.51,0.0,0.099,1.65,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,126.24,97.95
2020-06-14,Albania,1521.0,57.0,39.286,36.0,0.0,0.28600000000000003,528.529,19.807000000000002,13.651,12.51,0.0,0.099,1.66,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,129.96,77.91
2020-06-15,Albania,1590.0,69.0,46.714,36.0,0.0,0.28600000000000003,552.505,23.976999999999997,16.233,12.51,0.0,0.099,1.65,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,101.84,88.49
2020-06-16,Albania,1672.0,82.0,53.286,37.0,1.0,0.429,580.999,28.494,18.516,12.857000000000001,0.34700000000000003,0.149,1.59,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,97.59,92.28
2020-06-17,Albania,1722.0,50.0,54.428999999999995,38.0,1.0,0.5710000000000001,598.374,17.374000000000002,18.913,13.205,0.34700000000000003,0.19899999999999998,1.47,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,95.12,89.77
2020-06-18,Albania,1788.0,66.0,57.571000000000005,39.0,1.0,0.5710000000000001,621.308,22.934,20.005,13.552,0.34700000000000003,0.19899999999999998,1.4,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,99.95,94.63
2020-06-19,Albania,1838.0,50.0,60.286,42.0,3.0,0.857,638.682,17.374000000000002,20.949,14.594000000000001,1.042,0.298,1.32,,,,,,,,,,,,,,,,,,,,71.3,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785,,119.85,96.59
